,,,,,,,,
Sites,Metric,Total Byte Size (bytes),First Contentful Paint (ms),Largest Contentful Paint (ms),Time to Interactive (ms),Performance Score,Carbon Emissions (g CO2),
blogy,Before Optimization,409530,3807.52,4351.87,4406.3,75.6,0.5429,
,After Optimization,381799,3539.59,4137.55,4185.34,76.2,0.5415,
,Change (%),-27731 (-6.77%),-267.93 (-7.04%),-214.32 (-4.92%),-220.96 (-5.01%),+0.6 (+0.79%),-0.0014 (-0.26%),
,,,,,,,,
eduland,Before Optimization,1623264,3788.19,5810.09,5900.93,67.6,0.6066,
,After Optimization,1604612,3215.62,5227.06,5319.04,71.2,0.6056,
,Change (%),-18652 (-1.15%),-572.57 (-15.11%),-583.03 (-10.03%),-581.89 (-9.86%),+3.6 (5.33%),-0.0010 (-0.16%),
,,,,,,,,
grilli,Before Optimization,1777361,3787.63,4606.64,4685.5,71.6,0.6147,
,After Optimization,1739473,3570.43,4565.21,4553.67,72.3,0.6127,
,Change (%),-37888 (-2.13%),-217.20 (-5.73%),-41.43 (-0.89.93%), -131.83 ( -2.81%),+0.7 (+0.98%),-0.0020 (-0.33%),
,,,,,,,,
woodex,Before Optimization,231506,4199.68,4371.57,4379.5,73,0.5336,
,After Optimization,196531,3565.94,3656.14,3662.16,79.4,0.5318,
,Change (%),-34975 (-15.11%),-633.74 (-15.09%),-715.43 (-16.37%),-717.34 (-16.38%),+6.4 (8.77%),-0.0018 (-0.34%),
