Site Name,FCP (ms) (Before/After),LCP (ms) (Before/After),TTI (ms) (Before/After),Loading Time (ms) (Before/After)
anon,4635.83 / 4192.33,7569.32 / 6256.85,7659.06 / 6343.18,5336.51 / 5148.4
beauty-salon,2190.17 / 2615.08,5194.18 / 5536.57,5262.82 / 5655.33,2190.17 / 2713.89
blogy,3805.69 / 3835.02,4332.18 / 4063.33,4384.83 / 4086.16,4287.3 / 4318.98
bookish,3740.7 / 3733.0,3834.99 / 3811.25,3841.26 / 3812.83,4487.06 / 4733.35
casmart,3627.29 / 3643.17,4016.56 / 3819.85,4016.56 / 3819.85,4925.01 / 4931.23
crafti,3619.77 / 3597.0,4473.09 / 4082.75,4527.71 / 4105.69,4884.56 / 4884.08
eduland,3763.43 / 3269.1,5816.52 / 3983.65,5907.47 / 4024.03,4978.78 / 4782.12
evara,5302.36 / 5439.88,8644.13 / 9374.15,8916.51 / 9709.87,5565.58 / 5597.95
filmlane,3568.76 / 3558.16,8913.58 / 5814.06,9090.02 / 5904.46,4899.11 / 4903.72
fitlife,3773.26 / 3797.68,4722.7 / 4447.24,4803.07 / 4500.15,5073.31 / 5070.92
footcap,4212.21 / 3868.28,4546.68 / 4032.84,4570.08 / 4042.68,5163.94 / 5018.63
futras,3800.42 / 3763.98,4898.1 / 4188.87,4943.48 / 4221.75,5112.15 / 5114.79
gamex,3894.19 / 3554.74,8785.6 / 7045.17,9081.56 / 7206.95,5034.66 / 4909.48
gamics,3746.69 / 3756.24,6919.34 / 4316.51,7032.43 / 4356.42,5260.71 / 4988.54
glowing,4214.32 / 3663.35,4751.53 / 3871.75,4791.19 / 3882.1,5866.28 / 5650.44
grilli,3877.28 / 3787.54,4970.07 / 4576.18,5073.18 / 4645.24,5714.69 / 5678.58
innohub,3834.51 / 3796.29,4095.97 / 4084.36,4108.03 / 4099.62,4995.17 / 4982.31
kitter,3805.86 / 3829.67,4258.87 / 4016.19,4304.17 / 4029.63,5003.13 / 5020.02
metalink,4097.29 / 3611.02,4625.31 / 3870.09,4660.51 / 3881.97,5328.39 / 5096.7
naft-marketplace,3622.28 / 3623.96,5122.03 / 5166.41,5189.63 / 5234.64,4924.58 / 4926.21
shopiq,3622.96 / 3620.98,54816.48 / 16017.53,56465.41 / 16266.67,4951.61 / 4955.0
tourest,4396.74 / 4412.41,7228.73 / 5395.22,7511.93 / 5493.5,5244.21 / 5259.84
tourly,3746.77 / 3767.32,7016.31 / 6158.13,7088.87 / 6189.83,4981.54 / 4984.44
transportio,3742.89 / 3730.12,5584.9 / 4055.85,5607.62 / 4069.74,5002.82 / 5015.82
unigine,3471.34 / 3017.92,4898.94 / 4187.9,4948.93 / 4219.93,4962.08 / 4774.37
wildvine,3937.2 / 3921.25,4201.32 / 4076.41,4221.6 / 4088.82,5062.75 / 5059.39
woodex,4263.97 / 3784.12,4378.8 / 3847.98,4390.29 / 3854.37,5185.63 / 4979.32
world-travel,3094.07 / 3110.53,9027.81 / 3565.64,9040.67 / 3565.64,4782.95 / 4832.24
wren,4093.58 / 3649.78,4602.78 / 3965.61,4639.65 / 3986.68,5138.29 / 4936.48
**Average**,3844.89 / 3722.41,7318.86 / 5090.63,7450.98 / 5148.20,4977.34 / 4940.25
